record_id,source_id,polymer_name,monomer_components_smiles,dynamic_link_type,catalyst_name,catalyst_loading_mol_pct,tg_value_c,relaxation_time_s,relaxation_temp_c,activation_energy_kj_mol,data_provenance,doi,conflict_flag,extraction_method,notes
rec_vit_web_vashisth_lab_0026,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)COCC1(COCC(=O)O)CCN(Cc2ccccc2OCc2ccccc2)CC1.Cc1ccc(NC(=O)C(CC2CO2)CC2CO2)c(C)c1,transesterification,,,98.54040000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0027,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(C)(C)Oc1ccccc1NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O.O=C(NCCOCC1CO1)Nc1ccc(COCC2CO2)cc1,transesterification,,,100.94580000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0028,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1ccc(NC(=O)c2cc(C(=O)O)ccc2C(=O)O)c(OC)c1.CCc1cccc(NC(=O)CN(CCOCC2CO2)CCOCC2CO2)c1,transesterification,,,112.01250000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0029,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(C)(N)CCC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1.CNC(=O)c1ccc(OC)c(NC(=O)C(CC2CO2)CC2CO2)c1,transesterification,,,139.98400000000004,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0030,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCC(CCC(=O)O)C(=O)Oc1ccc(N2CCCC2)cc1.N#Cc1cc(OCC2CO2)cc(C(=O)N2CCN(C(=O)c3ccccc3OCC3CO3)CC2)c1,transesterification,,,122.41480000000001,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0031,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccc2c(c1)CC(=O)N2.O=C(NC(COCC1CO1)C(=O)O)c1ccc(OCC2CO2)cc1,transesterification,,,165.05200000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0032,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(C)Cc1ccc(C(CC(=O)O)C(=O)O)cc1.O=C(CCCC1CO1)NCC1CCN(CC(=O)NCC2CO2)CC1,transesterification,,,82.53610000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0033,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(CCNC(=O)c1ccc(OCCC(=O)O)cc1)NC(=O)CCCC(=O)O.O=C(c1ccc(OCC2CO2)cc1)C1CCN(C(=O)CCCCc2cccc(OCC3CO3)c2)CC1,transesterification,,,97.1411,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0034,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCN(CCC(=O)O)Cc1cccn1C1CC1.NN=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,transesterification,,,35.29170000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0035,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)c1cc(NC(=O)C2CCCCC2)cc(C(=O)O)c1.Cc1ccc(COCC2CO2)cc1NC(=O)c1ccc(CN2CCC(COCC3CO3)CC2)cc1,transesterification,,,130.87220000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0036,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(=O)Nc1ccc(C)cc1OCC(=O)N(CCC(=O)O)CCC(=O)O.O=C(C=Cc1ccc(OCC2CO2)cc1)NCc1cccc(OCC2CO2)c1,transesterification,,,108.2106,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0037,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cn1cc(CCN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)cn1.O=C(NC(Cc1ccccc1)C(=O)N1CCCC1)c1ccc(OCC2CO2)cc1OCC1CO1,transesterification,,,98.09030000000001,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0038,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1ccc(CNC(=O)C(CCC(=O)O)CCC(=O)O)c(OC)c1OC.O=C(COCC1CO1)N1CCC(CNCCCC2CO2)CC1,transesterification,,,44.78000000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0039,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCNC(=O)CNC(=O)N1CCC(O)(CCC(=O)O)CC1.Cc1ccc(CN(C)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)nc1,transesterification,,,152.7821,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0040,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCCCc1ccc(NC(=O)NC(COCC(=O)O)COCC(=O)O)cc1.CCn1cc(NCc2ccc(OCC3CO3)cc2OCC2CO2)cn1,transesterification,,,69.35500000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0041,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(NC(=O)c2ccccc2)c1.O=C(NCc1ccncc1)c1c(OCC2CO2)cccc1OCC1CO1,transesterification,,,139.387,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0042,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCN(CCCO)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1.Cc1ccc(CC(=O)N2CCc3c(cccc3OCC3CO3)C2)cc1OCC1CO1,transesterification,,,110.06580000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0043,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCN(CC1CCN(C(=O)CCCCC(=O)O)CC1)C(=O)CCCC(=O)O.CN(C)Cc1cccc(NC(=O)C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,transesterification,,,78.59990000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0044,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(C)NC(=O)CCNC(=O)C(CCC(=O)O)CCC(=O)O.Cc1ccc(C(=O)NCC(=O)N2CCCCC2)c(OCC2CO2)c1OCC1CO1,transesterification,,,104.11360000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0045,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1cc(Oc2ccccc2)ccc1NC(=O)C(=O)N(CCOCC(=O)O)CCOCC(=O)O.COc1ccccc1N1CCN(CC(=O)c2ccc(OCC3CO3)c(OCC3CO3)c2)CC1,transesterification,,,88.005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0046,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(C)CN(CC(C)(C)C(=O)O)C(=O)c1cccc(OCC(=O)O)c1.Cc1ccc(OCCNC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c(C)c1,transesterification,,,98.67790000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0047,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1ccc(CN(CCC(=O)O)C(=O)COCCCC(=O)O)cc1.c1ccc(OCCOc2ccccc2OCCOCC2CO2)c(OCCOCC2CO2)c1,transesterification,,,24.20870000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0048,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCNC(=O)c1cccc(NC(=O)CNC(COCC(=O)O)COCC(=O)O)c1.O=C(Nc1ccc(COCCO)cc1)C(CC1CO1)CC1CO1,transesterification,,,106.59810000000004,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0049,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1cccc(NC(=O)CN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c1C.CC(=O)Nc1c(C)ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1C,transesterification,,,104.51670000000001,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0050,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1ccc(NC(=O)NC2(CC(=O)O)CCC2)c(C(=O)O)c1.O=C(COCCC1CO1)NCCCCC1CO1,transesterification,,,88.15290000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0051,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1ccc(C)c(OCCNCCNC(=O)C(CCC(=O)O)CCC(=O)O)c1.CC(=O)NCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,transesterification,,,35.21550000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0052,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1ccc(CCNC(=O)N(CCC(=O)O)CCC(=O)O)cc1O.CC(C)(C)OC(=O)COc1cccc(C(=O)N(CC2CO2)CC2CO2)c1,transesterification,,,102.49940000000004,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0053,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1onc(COCC(=O)O)c1C(=O)Nc1ccc(C(=O)NCCOCC(=O)O)cc1.CCN(Cc1ccccc1)C(=O)c1ccc(C)c(OCC2CO2)c1OCC1CO1,transesterification,,,141.1698,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0054,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(C)(CCOCC(=O)O)NC(=O)CCCCOCC(=O)O.O=C(COc1ccccc1OCc1ccccc1)NC(COCC1CO1)COCC1CO1,transesterification,,,50.4529,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0055,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCC(CCC(=O)O)C(=O)N1CCN(CC2CCCCC2)CC1.CCNC(=O)COc1ccc(NC(=O)Nc2ccc(COCC3CO3)c(COCC3CO3)c2)cc1,transesterification,,,113.48220000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0056,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(=O)N1CCN(c2ccccc2CNC(=O)N(CCC(=O)O)CCC(=O)O)CC1.COC(=O)c1cc(NCC(=O)N(CC2CO2)CC2CO2)ccc1N1CCCCC1,transesterification,,,118.00580000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0057,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCN(Cc1ccccn1)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1.Cc1cc(NC(=O)c2cc(OCc3ccccc3)ccc2OCC2CO2)cc(OCC2CO2)c1,transesterification,,,141.1234,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0058,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCC(=O)N(CCO)CCNC(=O)C(CCC(=O)O)CCC(=O)O.CCc1ccc(OCC2CO2)c(NC(=O)c2cccc(C)c2OCC2CO2)c1,transesterification,,,70.81310000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0059,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCCCCCC(=O)N1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1.Cc1cc(N(C)C)ccc1NC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,transesterification,,,65.1191,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0060,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)COCCOCCN(CCOCC(=O)O)C(=O)C1CCCCCC1.O=C(NCc1ccccn1)c1cccc(OCC2CO2)c1OCC1CO1,transesterification,,,55.66610000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0061,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1ccc2c(CN(CCC(=O)O)CCC(=O)O)ccc(O)c2n1.CC(C)(C)C(=O)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,transesterification,,,81.72980000000001,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0062,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1cccc(C)c1OCCCNC(COCC(=O)O)COCC(=O)O.CC(=O)c1ccc(OCC2CO2)c(NC(=O)Cc2cc3ccccc3nc2OCC2CO2)c1,transesterification,,,79.62510000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0063,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCCCCOCC(=O)NC(COCC(=O)O)COCC(=O)O.O=C(COCCc1ccccc1)N(CC1CO1)CC1CO1,transesterification,,,31.80460000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0064,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1cccc(C(=O)N2CCCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c1.O=C(Nc1ccccc1)c1ccc(C(=O)NC(COCC2CO2)COCC2CO2)cc1,transesterification,,,115.11610000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0065,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CN(C)c1ncccc1CN(CCC(=O)O)CC(=O)O.c1ccc(CC2CCN(CCCCCOCC3CO3)CC2)c(COCC2CO2)c1,transesterification,,,53.41130000000004,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
