record_id,source_id,doi,polymer_SMILES,dynamic_bond_type,temperature_C,relaxation_time_s,normalized_stress,storage_modulus_Pa,catalyst_smiles,crosslinker,normalized_inverse_temperature,log_viscosity,time_s,tan_delta,normalized_fluorescence_intensity,domain_distance_nm
pdf_hayashi_2025_89b6dd57,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,,,,,,,0.6359456829030912,7.292296705091654,,,,
pdf_hayashi_2025_c15be182,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,,,,,,,0.7594012142559206,8.781734976519164,,,,
pdf_hayashi_2025_4eec2242,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,,,,,,,0.8453093571858923,9.512094070046476,,,,
pdf_hayashi_2025_ee5d0b41,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,,,,,,,0.882298744032998,10.227284275786046,,,,
pdf_hayashi_2025_ac6139cc,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,,,,,,,0.9407609955044722,11.234658825884924,,,,
pdf_denissen_2015_8e358787,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,443.0,83.0,0.3711687549763233,,,,,,,,,
pdf_denissen_2015_7043122a,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,433.0,108.0,0.3713531408456607,,,,,,,,,
pdf_denissen_2015_972f8cdd,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,423.0,148.0,0.3699953903532667,,,,,,,,,
pdf_denissen_2015_19a894b8,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,413.0,252.0,0.3703390185643047,,,,,,,,,
pdf_denissen_2015_97930cb6,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,403.0,492.0,0.3708335079411643,,,,,,,,,
pdf_wang_2018_e74a2693,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,160.0,108.86315876220692,0.3733899212987764,,,,,,,,,
pdf_wang_2018_0f1a28db,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,150.0,236.762948617578,0.3685030285549467,,,,,,,,,
pdf_wang_2018_7f8556c6,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,140.0,742.9230705838725,0.3705550290494047,,,,,,,,,
pdf_wang_2018_09cf9d61,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,130.0,1523.7545840372495,0.3818286703201616,,,,,,,,,
pdf_denissen_2015_26e0c59b,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,,79.029923246732,0.3711687549763233,,,,,,,,,
pdf_denissen_2015_751e8195,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,,102.60980677727086,0.3713531408456607,,,,,,,,,
pdf_denissen_2015_1f29ba96,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,,150.02799902670043,0.3699953903532667,,,,,,,,,
pdf_denissen_2015_1d0004ee,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,,244.06396743664428,0.3703390185643047,,,,,,,,,
pdf_denissen_2015_7b433497,denissen_2015,10.1002/adfm.201502499,C(=O)-CC(=C)-N,vinylogous_urethane_transamination,,491.6031234229833,0.3708335079411643,,,,,,,,,
